year,students,annual_growth_rate_r,birth_rate_index,migration_index,school_attractiveness,policy_shock
2012,30,-0.001699598207355549,1.0591415123926329,1.038700373690082,1.0123819783478796,0.0
2013,30,-0.008522097637367236,1.0111081691204775,0.9825513784077473,1.0129246300902366,0.0
2014,30,-0.00038559242181791884,1.0571289204895784,1.0285961852094538,1.0642494280261139,0.0
2015,30,0.000155687201512697,1.0551400184148132,0.972413926736071,0.9878075495084615,0.0
2016,29,-0.008595236985639855,0.960699713571154,1.0428303197445985,0.9846327181278539,0.0
2017,29,-0.005708089654426263,0.972473076332592,1.0026183481759345,0.9755868181525637,0.0
2018,29,-0.008416953691717598,1.0076813659411723,0.9941439669966511,1.018479382677265,0.0
2019,29,-0.007992827324553718,0.9866665683835387,0.9712243566853809,1.0338691687816268,0.0
2020,29,-0.002332091020037024,0.9879575037364099,1.0442862689315766,0.9965815762703537,0.0
2021,28,-0.028962745543143282,0.9551779129420234,0.9861265130249403,0.9747953056911242,0.0
2022,28,0.01438632493417822,0.9994588623228079,0.9720976563442449,0.9752655635292629,0.03
2023,28,-0.015996487583973432,0.9887183734474838,0.972068504134317,1.019517783634741,0.0
2024,27,-0.01769801523488778,0.9596732286191442,1.004369290499057,1.0222976251361033,0.0
2025,27,-0.013339715089029994,0.9838172362090409,0.9946177625745631,1.0162946280491558,0.0
